Area,Item,Element,2010,flag,2011,flag,2012,flag,2013,flag,2014,flag
Czech Republic,Oats,Producer Price (USD/tonne) (USD),137.8,,208.73,,210.49,,251.65,,235.88,
Czech Republic,Triticale,Producer Price (USD/tonne) (USD),,,,,225.66,,235.09,,186.97,
Poland,Wheat,Producer Price (USD/tonne) (USD),199,,278.31,,275.38,,252.28,,217.25,
Poland,Barley,Producer Price (USD/tonne) (USD),163.46,,256.61,,252.92,,232.97,,200.1,
Poland,Maize,Producer Price (USD/tonne) (USD),196.68,,230.85,,225.23,,212.4,,173.1,
Poland,Rye,Producer Price (USD/tonne) (USD),140.2,,252.88,,229.23,,175.36,,169.61,
Poland,Oats,Producer Price (USD/tonne) (USD),115.61,,220.68,,202.46,,169.03,,162.62,
Poland,Millet,Producer Price (USD/tonne) (USD),260.8,,319.32,,279.38,,326.03,,335.09,
Poland,Buckwheat,Producer Price (USD/tonne) (USD),537.87,,602.37,,347.08,,364.02,,379.87,
Poland,Triticale,Producer Price (USD/tonne) (USD),156.48,,247.12,,248,,207.33,,188.35,
Portugal,Wheat,Producer Price (USD/tonne) (USD),218.03,,279.72,,332.05,,307.6,,,
Portugal,Rice paddy,Producer Price (USD/tonne) (USD),357.63,,409.03,,380.38,,359.66,,,
Portugal,Barley,Producer Price (USD/tonne) (USD),183.82,,270.69,,276.03,,268.55,,,
Portugal,Maize,Producer Price (USD/tonne) (USD),269.87,,286.53,,306.67,,224.19,,,
Portugal,Rye,Producer Price (USD/tonne) (USD),197.11,,226.67,,256.92,,278.91,,,
Portugal,Oats,Producer Price (USD/tonne) (USD),187.5,,266.39,,276.15,,265.37,,,
Portugal,Triticale,Producer Price (USD/tonne) (USD),189.21,,270.56,,278.97,,264.17,,,
Romania,Wheat,Producer Price (USD/tonne) (USD),186.12,,289.47,,263.01,,255.47,,227.25,
Romania,Barley,Producer Price (USD/tonne) (USD),182.97,,299.34,,289.02,,312.57,,269.12,
Romania,Maize,Producer Price (USD/tonne) (USD),223.97,,328.95,,300.58,,300.55,,227.25,
Romania,Oats,Producer Price (USD/tonne) (USD),252.37,,371.71,,349.71,,336.61,,287.06,
Russian Federation,Wheat,Producer Price (USD/tonne) (USD),127.37,,174.22,,208.49,,211.13,,182.06,
Russian Federation,Rice paddy,Producer Price (USD/tonne) (USD),364.66,,332.78,,288.97,,375.53,,339.46,
Russian Federation,Barley,Producer Price (USD/tonne) (USD),111.82,,170.05,,192.03,,200.47,,146.63,
Russian Federation,Maize,Producer Price (USD/tonne) (USD),154.18,,201.81,,219.62,,206.91,,154.14,
Russian Federation,Rye,Producer Price (USD/tonne) (USD),112.35,,133.83,,147.01,,154.44,,124.7,
Russian Federation,Oats,Producer Price (USD/tonne) (USD),118.45,,153.31,,149.54,,181.79,,131.99,
Russian Federation,Millet,Producer Price (USD/tonne) (USD),126.22,,175.92,,129.54,,164.78,,149.1,
Russian Federation,Buckwheat,Producer Price (USD/tonne) (USD),268.54,,534.65,,342.78,,226.53,,222.49,
Slovenia,Wheat,Producer Price (USD/tonne) (USD),178.55,,268.19,,250.77,,241.33,,224.71,
Slovenia,Barley,Producer Price (USD/tonne) (USD),142.63,,251.11,,230.26,,236.4,,203.71,
Slovenia,Maize,Producer Price (USD/tonne) (USD),204.08,,236.53,,256.15,,225.6,,166.5,
Slovenia,Rye,Producer Price (USD/tonne) (USD),194.47,,268.89,,281.54,,253.07,,219.79,
Slovenia,Oats,Producer Price (USD/tonne) (USD),233.82,,260.42,,213.85,,270.67,,278.79,
Slovenia,Buckwheat,Producer Price (USD/tonne) (USD),1021.45,,970,,859.36,,871.73,,,
Slovenia,Triticale,Producer Price (USD/tonne) (USD),189.87,,307.08,,234.87,,216.27,,204.51,
Slovakia,Wheat,Producer Price (USD/tonne) (USD),194.53,,273.38,,263.33,,231.63,,206.32,
Slovakia,Barley,Producer Price (USD/tonne) (USD),201.09,,290.88,,277.95,,267.9,,237.36,
Slovakia,Maize,Producer Price (USD/tonne) (USD),195.87,,232.06,,256.03,,229.39,,170.97,
Slovakia,Rye,Producer Price (USD/tonne) (USD),184.05,,270.57,,222.05,,191.06,,166.56,
Slovakia,Oats,Producer Price (USD/tonne) (USD),218.63,,284.99,,264.74,,282.17,,303.51,
Spain,Wheat,Producer Price (USD/tonne) (USD),229.61,,319.58,,317.82,,283.43,,,
Spain,Rice paddy,Producer Price (USD/tonne) (USD),338.55,,383.47,,354.62,,365.38,,,
Spain,Barley,Producer Price (USD/tonne) (USD),197.76,,270.56,,286.28,,240,,,
Spain,Maize,Producer Price (USD/tonne) (USD),240.53,,301.25,,298.72,,264.17,,,
Spain,Rye,Producer Price (USD/tonne) (USD),192.76,,255,,281.03,,225.12,,,
Spain,Oats,Producer Price (USD/tonne) (USD),183.82,,252.08,,278.33,,222.2,,,
Spain,Sorghum,Producer Price (USD/tonne) (USD),247.37,,277.78,,294.23,,255.01,,,
Spain,Triticale,Producer Price (USD/tonne) (USD),230,,286.39,,281.28,,,,,
Spain,Canary seed,Producer Price (USD/tonne) (USD),517.11,,555.56,,767.44,,,,,
Sweden,Wheat,Producer Price (USD/tonne) (USD),225.31,,277.35,,280.65,,256.41,,,
Sweden,Barley,Producer Price (USD/tonne) (USD),190.54,,244.99,,242.25,,207.27,,,
Sweden,Rye,Producer Price (USD/tonne) (USD),172.46,,255.78,,259.97,,204.2,,,
Sweden,Oats,Producer Price (USD/tonne) (USD),151.6,,212.63,,214.18,,185.78,,,
Sweden,Triticale,Producer Price (USD/tonne) (USD),194.71,,243.45,,257.02,,227.23,,,
Switzerland,Wheat,Producer Price (USD/tonne) (USD),450,,519.1,,505.32,,512.64,,493.94,
Switzerland,Barley,Producer Price (USD/tonne) (USD),309.62,,360.67,,336.17,,341.04,,354.06,
Switzerland,Maize,Producer Price (USD/tonne) (USD),321.15,,342.7,,319.15,,316.22,,335.49,
Switzerland,Rye,Producer Price (USD/tonne) (USD),348.08,,401.12,,385.11,,401.48,,395.59,
Switzerland,Oats,Producer Price (USD/tonne) (USD),275,,314.61,,303.19,,314.06,,308.17,
Switzerland,Triticale,Producer Price (USD/tonne) (USD),302.88,,342.7,,337.23,,341.04,,355.16,
United Kingdom,Wheat,Producer Price (USD/tonne) (USD),203.08,,295.16,,306.35,,290.99,,257,
United Kingdom,Barley,Producer Price (USD/tonne) (USD),164.62,,258.06,,265.08,,247.19,,197.69,
United Kingdom,Oats,Producer Price (USD/tonne) (USD),155.38,,279.03,,301.59,,223.72,,181.22,
Ukraine,Wheat,Producer Price (USD/tonne) (USD),136.78,,167.25,,193.99,,171.15,,163.15,
Ukraine,Rice paddy,Producer Price (USD/tonne) (USD),295.72,,324.34,,294.24,,313.52,,401.21,
Ukraine,Barley,Producer Price (USD/tonne) (USD),120.28,,169.26,,197.5,,181.03,,148.94,
Ukraine,Maize,Producer Price (USD/tonne) (USD),156.93,,171.39,,189.61,,151.38,,152.16,
Ukraine,Rye,Producer Price (USD/tonne) (USD),99.87,,160.85,,164.46,,140.62,,112.05,
Ukraine,Oats,Producer Price (USD/tonne) (USD),96.6,,197.37,,189.11,,178.53,,129.84,
Ukraine,Millet,Producer Price (USD/tonne) (USD),130.48,,193.35,,150.44,,181.66,,188.61,
Ukraine,Buckwheat,Producer Price (USD/tonne) (USD),492.44,,600.75,,472.09,,335.42,,314.53,
Ukraine,Cereals nes,Producer Price (USD/tonne) (USD),128.21,,158.59,,182.35,,138.5,,133.85,
Belgium,Wheat,Producer Price (USD/tonne) (USD),205,,275.49,,286.28,,263.92,,219.04,
Belgium,Barley,Producer Price (USD/tonne) (USD),193.95,,240.99,,277.08,,230.08,,184.73,
Belgium,Rye,Producer Price (USD/tonne) (USD),143.55,,169.75,,190.71,,164.77,,146.25,
Belgium,Oats,Producer Price (USD/tonne) (USD),286.45,,314.18,,294.92,,165.85,,94.86,
Belgium,Triticale,Producer Price (USD/tonne) (USD),147.76,,167.18,,147.63,,126.64,,113.45,
Luxembourg,Wheat,Producer Price (USD/tonne) (USD),209.21,,252.08,,295.9,,222.6,,198.53,
Luxembourg,Barley,Producer Price (USD/tonne) (USD),164.87,,223.75,,256.79,,195.24,,173.02,
Luxembourg,Maize,Producer Price (USD/tonne) (USD),213.42,,253.33,,282.05,,265.63,,170.09,
Luxembourg,Rye,Producer Price (USD/tonne) (USD),171.18,,215.83,,224.36,,173.72,,155.34,
Luxembourg,Oats,Producer Price (USD/tonne) (USD),125,,211.81,,230.77,,169.74,,135.67,
Luxembourg,Triticale,Producer Price (USD/tonne) (USD),167.76,,229.17,,262.82,,185.01,,160.52,
Luxembourg,Grain mixed,Producer Price (USD/tonne) (USD),125,,173.61,,224.36,,168.41,,127.57,
Serbia,Wheat,Producer Price (USD/tonne) (USD),165.95,,246.05,,245.08,,206.09,,201.93,
Serbia,Barley,Producer Price (USD/tonne) (USD),160.56,,258.32,,250.89,,236.97,,203.06,
Serbia,Maize,Producer Price (USD/tonne) (USD),173.26,,232.42,,236.43,,188.24,,159.42,
Serbia,Rye,Producer Price (USD/tonne) (USD),259.77,,280.94,,316.88,,214.07,,190.85,
Serbia,Oats,Producer Price (USD/tonne) (USD),178.01,,310.39,,215.67,,270.08,,190.74,
,,,,,,,,,,,,
,Official data,,,,,,,,,,,
F,FAO estimate,,,,,,,,,,,
,,,,,,,,,,,,
FAOSTAT 2016, Date : 31,1,2016,,,,,,,,,
