"﻿""Area""",Item,Element,2009,flag,2010,flag,2011,flag,2012,flag,2013,flag
Bolivia (Plurinational State of),Rye,Producer Price (USD/tonne) (USD),169.33,,159.01,,164.67,,169.23,,173.07,
Bolivia (Plurinational State of),Oats,Producer Price (USD/tonne) (USD),183.68,,176.28,,184.16,,191.03,,193.94,
Bolivia (Plurinational State of),Sorghum,Producer Price (USD/tonne) (USD),40.54,,68.93,,69.11,,69.38,,70.03,
Bolivia (Plurinational State of),Quinoa,Producer Price (USD/tonne) (USD),1320,,1332.54,,1376.11,,1386.06,,1468.2,
Brazil,Wheat,Producer Price (USD/tonne) (USD),213.75,,232.95,,245.51,,,,,
Brazil,Rice paddy,Producer Price (USD/tonne) (USD),339.15,,355.11,,334.31,,316.67,,361.17,
Brazil,Maize,Producer Price (USD/tonne) (USD),158.35,,169.89,,256.47,,226.92,,202.02,
Bulgaria,Wheat,Producer Price (USD/tonne) (USD),150,,165.99,,231.91,,265.79,,213.84,
Bulgaria,Rice paddy,Producer Price (USD/tonne) (USD),427.86,,353.06,,346.48,,325,,374.72,
Bulgaria,Barley,Producer Price (USD/tonne) (USD),147.14,,134.01,,222.27,,248.68,,226.73,
Bulgaria,Maize,Producer Price (USD/tonne) (USD),149.29,,188.44,,240.84,,233.55,,207.05,
Bulgaria,Rye,Producer Price (USD/tonne) (USD),202.86,,151.7,,195.92,,226.97,,214.52,
Bulgaria,Oats,Producer Price (USD/tonne) (USD),180,,160.54,,228.38,,236.84,,226.06,
Bulgaria,Sorghum,Producer Price (USD/tonne) (USD),201.43,,234.01,,255.69,,253.29,,202.97,
Bulgaria,Triticale,Producer Price (USD/tonne) (USD),198.57,,154.42,,195.57,,232.24,,226.73,
Burundi,Wheat,Producer Price (USD/tonne) (USD),,,,,,,573.92,,,
Burundi,Rice paddy,Producer Price (USD/tonne) (USD),475.54,,357.51,,372.97,,416.39,,366.65,
Burundi,Maize,Producer Price (USD/tonne) (USD),349.63,F,376.55,F,405.95,F,387.24,,,
Burundi,Sorghum,Producer Price (USD/tonne) (USD),440.13,F,480.98,F,509.85,F,480.93,,,
Cameroon,Rice paddy,Producer Price (USD/tonne) (USD),264.18,,247.37,,357.78,,404.86,,,
Cameroon,Maize,Producer Price (USD/tonne) (USD),374.26,,316.09,,407.6,,419.15,,,
Cameroon,Sorghum,Producer Price (USD/tonne) (USD),319.38,,247.88,,316.26,,330.25,,,
Canada,Wheat,Producer Price (USD/tonne) (USD),191.95,,177.09,,236.89,,253.71,,242.92,
Canada,Barley,Producer Price (USD/tonne) (USD),164.91,,141.75,,194.95,,224.75,,220.62,
Canada,Maize,Producer Price (USD/tonne) (USD),159.53,,166.84,,238.45,,257.47,,226.44,
Canada,Rye,Producer Price (USD/tonne) (USD),153.92,,156.23,,218.08,,235.94,,235.97,
Canada,Oats,Producer Price (USD/tonne) (USD),128.54,,145.75,,206.18,,203.5,,212.6,
Canada,Canary seed,Producer Price (USD/tonne) (USD),379.19,,394.67,,609.13,,573.72,,567.42,
Cabo Verde,Maize,Producer Price (USD/tonne) (USD),890.18,,852.98,,895.2,,800.97,,850.72,
Sri Lanka,Rice paddy,Producer Price (USD/tonne) (USD),294.41,,263.33,,264.68,,236.49,,243.54,
Sri Lanka,Maize,Producer Price (USD/tonne) (USD),308.51,,306.41,,352.15,,276.86,,243.98,
Chad,Rice paddy,Producer Price (USD/tonne) (USD),855.42,,722.95,,751.9,,,,,
Chad,Maize,Producer Price (USD/tonne) (USD),480.02,,392.31,,417.75,,,,,
Chad,Millet,Producer Price (USD/tonne) (USD),483.93,,434,,432,,,,,
Chad,Sorghum,Producer Price (USD/tonne) (USD),450.7,,389.68,,363.64,,,,,
Chile,Wheat,Producer Price (USD/tonne) (USD),257.42,,265.27,,327.03,,294.23,,356.24,
Chile,Rice paddy,Producer Price (USD/tonne) (USD),246.14,,247.21,,222.84,F,183.74,F,143.72,
Chile,Maize,Producer Price (USD/tonne) (USD),197.92,,221.03,,292.84,,286.18,,262.05,
Chile,Oats,Producer Price (USD/tonne) (USD),199.11,,260.22,,,,,,,
China mainland,Wheat,Producer Price (USD/tonne) (USD),270.86,,279.47,,321.52,,323.3,,355.11,
China mainland,Rice paddy,Producer Price (USD/tonne) (USD),284.04,,296.6,,403.87,,456.42,,492.31,
China mainland,Barley,Producer Price (USD/tonne) (USD),289.9,,310.19,,348.3,,364.5,,402.73,
China mainland,Maize,Producer Price (USD/tonne) (USD),243.05,,273.26,,321.83,,383.52,,489.09,
China mainland,Rye,Producer Price (USD/tonne) (USD),805.27,,812.41,,167.8,,692.39,,3092.7,
China mainland,Oats,Producer Price (USD/tonne) (USD),395.31,,516.99,,565.02,,602.22,,387.39,
China mainland,Millet,Producer Price (USD/tonne) (USD),702.78,,768.09,,851.39,,982.57,,801.58,
China mainland,Sorghum,Producer Price (USD/tonne) (USD),167.5,,152.73,,123.07,,396.2,,403.54,
China mainland,Buckwheat,Producer Price (USD/tonne) (USD),468.52,,649.93,,657.89,,419.97,,387.39,
Colombia,Wheat,Producer Price (USD/tonne) (USD),380.37,,446.6,,486.54,,495.46,,433.1,
Colombia,Rice paddy,Producer Price (USD/tonne) (USD),379.92,,438.87,,505.21,,536.19,,482.97,
Colombia,Barley,Producer Price (USD/tonne) (USD),397.15,,461.74,,521.6,,571.43,,504.78,
Colombia,Maize,Producer Price (USD/tonne) (USD),320.84,,348.85,,433.75,,410.76,,375.26,
Colombia,Sorghum,Producer Price (USD/tonne) (USD),277.01,,306.49,,357.93,,329.86,,310.98,
Congo,Rice paddy,Producer Price (USD/tonne) (USD),1420.5,,1132.46,,1316.18,,1222.5,,1319.5,
Congo,Maize,Producer Price (USD/tonne) (USD),1452.35,,1678.94,,1615.54,,1643.15,,1732.62,
Costa Rica,Rice paddy,Producer Price (USD/tonne) (USD),576.42,,628.98,,607.4,,610.76,,614.54,
Costa Rica,Maize,Producer Price (USD/tonne) (USD),362.85,,401.15,,471.72,,463.45,,423.56,
Cyprus,Wheat,Producer Price (USD/tonne) (USD),516.67,,227.63,,369.44,,325.64,,364,
Cyprus,Barley,Producer Price (USD/tonne) (USD),186.11,,175,,323.61,,312.82,,308,
Cyprus,Oats,Producer Price (USD/tonne) (USD),370.83,,357.89,,619.44,,555.13,,572,
Azerbaijan,Wheat,Producer Price (USD/tonne) (USD),274.95,,286.55,,343.04,,334.18,,370.51,
Azerbaijan,Rice paddy,Producer Price (USD/tonne) (USD),332.18,,332.65,,337.97,,337.97,,351.28,
Azerbaijan,Barley,Producer Price (USD/tonne) (USD),248.82,,249.17,,317.72,,329.11,,330.77,
Azerbaijan,Maize,Producer Price (USD/tonne) (USD),278.68,,315.21,,329.11,,325.32,,350,
Azerbaijan,Rye,Producer Price (USD/tonne) (USD),174.18,,174.42,,189.87,,189.87,,192.31,
Azerbaijan,Oats,Producer Price (USD/tonne) (USD),174.18,,174.42,,207.59,,202.53,,205.13,
Azerbaijan,Millet,Producer Price (USD/tonne) (USD),180.4,,180.65,,183.54,,183.54,,185.9,
Benin,Rice paddy,Producer Price (USD/tonne) (USD),845.08,,657.42,,759.39,,,,,
Benin,Maize,Producer Price (USD/tonne) (USD),380.07,,250.83,,313.94,,,,,
Benin,Millet,Producer Price (USD/tonne) (USD),479.87,,353.99,,,,,,,
Benin,Sorghum,Producer Price (USD/tonne) (USD),365.21,,271.06,,352.12,,,,,
Denmark,Wheat,Producer Price (USD/tonne) (USD),169.35,,175.4,,269.59,,266.32,,272.32,
Denmark,Barley,Producer Price (USD/tonne) (USD),160.37,,179.32,,259.33,,273.75,,252.73,
Denmark,Rye,Producer Price (USD/tonne) (USD),133.83,,166.31,,239.55,,256.3,,221.74,
Denmark,Oats,Producer Price (USD/tonne) (USD),141.68,,164.35,,242.16,,256.65,,207.14,
Denmark,Triticale,Producer Price (USD/tonne) (USD),151.78,,181.11,,249.07,,270.12,,240.98,
Dominican Republic,Rice paddy,Producer Price (USD/tonne) (USD),553.13,,465.35,,459.21,,379.78,,405.27,
Dominican Republic,Maize,Producer Price (USD/tonne) (USD),374.24,,381.01,,401.41,,405.33,,391.9,
Dominican Republic,Sorghum,Producer Price (USD/tonne) (USD),275.35,,269.07,,317.17,,308.3,,349.45,
Belarus,Wheat,Producer Price (USD/tonne) (USD),132.93,,136.22,,166.25,,161.31,,235.49,
Belarus,Barley,Producer Price (USD/tonne) (USD),108.09,,108.86,,152.49,,203.57,,216.22,
Belarus,Maize,Producer Price (USD/tonne) (USD),258.04,,247.62,,319.62,,309.88,,325.64,
Belarus,Rye,Producer Price (USD/tonne) (USD),90.67,,86.58,,102.87,,97.14,,123.01,
Belarus,Oats,Producer Price (USD/tonne) (USD),77.86,,70.96,,85.49,,135.67,,159.44,
Belarus,Buckwheat,Producer Price (USD/tonne) (USD),276.98,,348.29,,607.58,,396.2,,359.32,
Belarus,Triticale,Producer Price (USD/tonne) (USD),94.9,,89.3,,119.14,,184.74,,184.86,
Ecuador,Wheat,Producer Price (USD/tonne) (USD),260,,380,,380,,453.49,,430.99,
Ecuador,Rice paddy,Producer Price (USD/tonne) (USD),250,,260,,340,,347.73,,355.34,
Ecuador,Barley,Producer Price (USD/tonne) (USD),355.43,,343.72,,391.99,,444.77,,470.67,
Ecuador,Maize,Producer Price (USD/tonne) (USD),300,,380,,250,,315.91,,361,
Egypt,Wheat,Producer Price (USD/tonne) (USD),291.16,,322.95,,395.45,,416.17,,,
Egypt,Rice paddy,Producer Price (USD/tonne) (USD),270.22,,327.05,,339.46,,341.75,,,
Egypt,Barley,Producer Price (USD/tonne) (USD),424.91,,433.99,,424.96,,556.27,,,
Egypt,Maize,Producer Price (USD/tonne) (USD),251.62,,334.34,,326.48,,358.75,,,
Egypt,Sorghum,Producer Price (USD/tonne) (USD),246.75,,337.19,,331.53,,376.57,,,
El Salvador,Rice paddy,Producer Price (USD/tonne) (USD),354.42,,366.3,,395.56,,360.36,,407,
El Salvador,Maize,Producer Price (USD/tonne) (USD),295.23,,265.1,,480.48,,331.54,,283.58,
El Salvador,Sorghum,Producer Price (USD/tonne) (USD),317.68,,234.3,,431.72,,315.04,,269.94,
Estonia,Wheat,Producer Price (USD/tonne) (USD),146.57,,243.55,,230.89,,291.86,,228.27,
Estonia,Barley,Producer Price (USD/tonne) (USD),121.73,,213.5,,256.29,,269.54,,200.29,
Estonia,Rye,Producer Price (USD/tonne) (USD),104.36,,208.32,,232.06,,233.81,,170.54,
Estonia,Oats,Producer Price (USD/tonne) (USD),77.11,,173.01,,193.44,,249.67,,129.81,
Fiji,Rice paddy,Producer Price (USD/tonne) (USD),422.01,F,524.82,F,664.8,,646.93,,679.25,
Fiji,Maize,Producer Price (USD/tonne) (USD),605.92,F,869.79,,683.24,,776.54,,622.19,
Finland,Wheat,Producer Price (USD/tonne) (USD),183.33,,193.42,,273.61,,260.26,,270.94,
Finland,Barley,Producer Price (USD/tonne) (USD),130.56,,148.68,,225,,239.74,,231.1,
Finland,Rye,Producer Price (USD/tonne) (USD),186.11,,210.53,,259.72,,274.36,,289.54,
Finland,Oats,Producer Price (USD/tonne) (USD),119.44,,152.63,,230.56,,238.46,,224.46,
France,Wheat,Producer Price (USD/tonne) (USD),155.37,,240.6,,262.69,,283,,230.27,
France,Rice paddy,Producer Price (USD/tonne) (USD),352.59,,398.41,,490.91,,538.95,,571.38,
France,Barley,Producer Price (USD/tonne) (USD),125.28,,202,,255.44,,253.04,,205.59,
France,Maize,Producer Price (USD/tonne) (USD),170.79,,245.4,,258.94,,281.46,,218.45,
France,Rye,Producer Price (USD/tonne) (USD),149.85,,213.21,,237.77,,256.73,,204.22,
France,Oats,Producer Price (USD/tonne) (USD),118.4,,172.86,,250.71,,267.41,,178.82,
France,Triticale,Producer Price (USD/tonne) (USD),123.25,,203.91,,234.91,,250.79,,200.5,
Georgia,Wheat,Producer Price (USD/tonne) (USD),232.93,,291.69,,301.66,,300.61,,262.27,
Georgia,Barley,Producer Price (USD/tonne) (USD),217.43,,274.27,,279.82,,322.3,,278.26,
Georgia,Maize,Producer Price (USD/tonne) (USD),393.95,,337.53,,379.29,,311.09,,291.61,
Georgia,Oats,Producer Price (USD/tonne) (USD),100.84,,349.66,,,,,,,
Germany,Wheat,Producer Price (USD/tonne) (USD),156.94,,197.37,,287.5,,283.33,,248.37,
Germany,Barley,Producer Price (USD/tonne) (USD),133.33,,164.47,,256.94,,258.97,,231.1,
Germany,Maize,Producer Price (USD/tonne) (USD),168.06,,206.58,,286.11,,278.21,,244.38,
Germany,Rye,Producer Price (USD/tonne) (USD),125,,169.74,,280.56,,260.26,,183.29,
Germany,Oats,Producer Price (USD/tonne) (USD),154.17,,171.05,,252.78,,242.31,,205.86,
Germany,Triticale,Producer Price (USD/tonne) (USD),140.28,,173.68,,266.67,,262.82,,209.85,
Bosnia and Herzegovina,Wheat,Producer Price (USD/tonne) (USD),194.29,,203.4,,277.3,,271.05,,220.7,
Bosnia and Herzegovina,Barley,Producer Price (USD/tonne) (USD),168.57,,182.31,,292.2,,254.61,,331.39,
Bosnia and Herzegovina,Maize,Producer Price (USD/tonne) (USD),180,,207.48,,265.96,,298.68,,256.69,
Bosnia and Herzegovina,Rye,Producer Price (USD/tonne) (USD),347.14,,280.95,,420.57,,363.82,,429.85,
Bosnia and Herzegovina,Oats,Producer Price (USD/tonne) (USD),210.71,,210.2,,309.22,,279.61,,217.3,
Bosnia and Herzegovina,Triticale,Producer Price (USD/tonne) (USD),,,245.58,,398.58,,498.68,,262.8,
Ghana,Rice paddy,Producer Price (USD/tonne) (USD),506.79,,488.67,,504.04,,,,,
Ghana,Maize,Producer Price (USD/tonne) (USD),384.79,,341.05,,429.81,,,,,
Ghana,Millet,Producer Price (USD/tonne) (USD),570,,568.11,,592.44,,,,,
Ghana,Sorghum,Producer Price (USD/tonne) (USD),469.5,,469.02,,505.32,,,,,
Greece,Wheat,Producer Price (USD/tonne) (USD),230.21,,209.41,,306.19,,298.64,,290.7,
Greece,Rice paddy,Producer Price (USD/tonne) (USD),296.47,,281.41,,315,,287.33,,317.54,
Greece,Barley,Producer Price (USD/tonne) (USD),196.11,,214.33,,283.97,,262.58,,260.28,
Greece,Maize,Producer Price (USD/tonne) (USD),209.58,,273.18,,297.94,,309.65,,263.88,
Greece,Rye,Producer Price (USD/tonne) (USD),180.56,,157.89,,250,,230.77,,180.2,
Greece,Oats,Producer Price (USD/tonne) (USD),304.25,,240.25,,250.68,,235.83,,242.64,
Hungary,Wheat,Producer Price (USD/tonne) (USD),148.82,,189.39,,256.06,,268.66,,213.56,
Hungary,Rice paddy,Producer Price (USD/tonne) (USD),358.32,F,323.96,F,311.91,,300.12,,285.27,
Hungary,Barley,Producer Price (USD/tonne) (USD),133.1,,141.49,,249.12,,243.48,,208.22,
Hungary,Maize,Producer Price (USD/tonne) (USD),145.37,,181.42,,245.03,,252.09,,218.21,
Hungary,Rye,Producer Price (USD/tonne) (USD),120.06,,147.86,,230.27,,251,,180.3,
Hungary,Oats,Producer Price (USD/tonne) (USD),134.28,,165.26,,232.97,,247.15,,213.28,
Hungary,Millet,Producer Price (USD/tonne) (USD),221.53,,279.85,,375.04,,432.12,,381.22,
Hungary,Sorghum,Producer Price (USD/tonne) (USD),160.95,,178.07,,251.18,,250.86,,282.67,
Hungary,Triticale,Producer Price (USD/tonne) (USD),121.8,,140.92,,221.94,,,,,
Hungary,Canary seed,Producer Price (USD/tonne) (USD),489.06,,443.65,,706.6,,662.54,,657.24,
Croatia,Wheat,Producer Price (USD/tonne) (USD),159.2,,210.75,,261.8,,238.49,,196.8,
Croatia,Barley,Producer Price (USD/tonne) (USD),159.58,,174.68,,279.21,,226.8,,219.88,
Croatia,Maize,Producer Price (USD/tonne) (USD),127.89,,189.8,,225.09,,269.18,,184.81,
Croatia,Rye,Producer Price (USD/tonne) (USD),209.87,,236.43,,217.79,,265.8,,217.79,
Croatia,Oats,Producer Price (USD/tonne) (USD),182.35,,171.77,,241.2,,208.01,,189.42,
Croatia,Triticale,Producer Price (USD/tonne) (USD),129.41,F,175.96,,229.78,,197.61,,171.7,
Croatia,Cereals nes,Producer Price (USD/tonne) (USD),129.41,,,,,,,,,
Iceland,Barley,Producer Price (USD/tonne) (USD),,,,,,,351.89,,339.9,
Indonesia,Wheat,Producer Price (USD/tonne) (USD),,,,,972.98,,914.96,,,
Indonesia,Rice paddy,Producer Price (USD/tonne) (USD),208.97,,299.37,,877.04,,876.27,,,
Indonesia,Maize,Producer Price (USD/tonne) (USD),264.49,,322.82,,354.44,,352.37,,,
Iran (Islamic Republic of),Wheat,Producer Price (USD/tonne) (USD),309.61,,311.13,,321.59,,358.45,,465.27,
Iran (Islamic Republic of),Rice paddy,Producer Price (USD/tonne) (USD),652.53,,719.77,,896.16,,1005.67,,1437.09,
Iran (Islamic Republic of),Barley,Producer Price (USD/tonne) (USD),254.61,,242.1,,333.8,,405.49,,399.74,
Iran (Islamic Republic of),Maize,Producer Price (USD/tonne) (USD),243.76,,276.88,,398.88,,483.19,,479.92,
Iran (Islamic Republic of),Millet,Producer Price (USD/tonne) (USD),522.77,,421.44,,595.42,,803.95,,434.78,
Iraq,Wheat,Producer Price (USD/tonne) (USD),512.82,,,,,,,,,
Iraq,Rice paddy,Producer Price (USD/tonne) (USD),811.97,,,,,,,,,
Iraq,Barley,Producer Price (USD/tonne) (USD),619.66,,,,,,,,,
Iraq,Maize,Producer Price (USD/tonne) (USD),273.5,,,,,,,,,
Ireland,Wheat,Producer Price (USD/tonne) (USD),145.83,,209.29,,227.17,,282.82,,207.67,
Ireland,Barley,Producer Price (USD/tonne) (USD),111.11,,206.95,,245.25,,270.54,,210.88,
Ireland,Oats,Producer Price (USD/tonne) (USD),156.94,,193.45,,227.46,,273.87,,196.58,
Israel,Wheat,Producer Price (USD/tonne) (USD),303.82,,256.42,,393.56,,324.68,,363.49,
Israel,Barley,Producer Price (USD/tonne) (USD),191.86,,176.2,,145.66,,324.68,,360.16,
Israel,Maize,Producer Price (USD/tonne) (USD),992.2,,1008.71,,984.87,,1123.32,,1191.83,
Israel,Sorghum,Producer Price (USD/tonne) (USD),170.48,,157.75,,196.08,,189.61,,202.25,
Italy,Wheat,Producer Price (USD/tonne) (USD),253.61,,236.18,,365.21,,329.36,,383.4,
Italy,Rice paddy,Producer Price (USD/tonne) (USD),621.81,,519.47,,635.42,,474.1,,531.13,
Italy,Barley,Producer Price (USD/tonne) (USD),185.42,,,,,,,,,
Italy,Maize,Producer Price (USD/tonne) (USD),182.36,,220.92,,316.25,,288.46,,299.63,
Italy,Oats,Producer Price (USD/tonne) (USD),255,,235.66,,332.64,,305.51,,249.83,
Côte d'Ivoire,Rice paddy,Producer Price (USD/tonne) (USD),487.34,,493.68,,608.79,,,,,
Côte d'Ivoire,Maize,Producer Price (USD/tonne) (USD),321.05,,315.56,,380.24,,,,,
Côte d'Ivoire,Millet,Producer Price (USD/tonne) (USD),269.66,,313.54,,347.05,,,,,
Côte d'Ivoire,Sorghum,Producer Price (USD/tonne) (USD),323.22,,,,,,,,,
Côte d'Ivoire,Fonio,Producer Price (USD/tonne) (USD),501.25,,669.55,,804.01,,,,,
Kazakhstan,Wheat,Producer Price (USD/tonne) (USD),174.63,,148.18,,197.76,,180.52,,198.59,
Kazakhstan,Rice paddy,Producer Price (USD/tonne) (USD),310.14,,316.03,,236.18,,246.85,,244.74,
Kazakhstan,Barley,Producer Price (USD/tonne) (USD),125.73,,92.31,,115.95,,125.02,,163.82,
Kazakhstan,Maize,Producer Price (USD/tonne) (USD),158.39,,153.01,,184.79,,194.04,,200.72,
Kazakhstan,Rye,Producer Price (USD/tonne) (USD),143.83,,135.18,,143.26,,169.58,,200.4,
Kazakhstan,Oats,Producer Price (USD/tonne) (USD),91.76,,82.82,,133,,127.28,,119.82,
Kazakhstan,Millet,Producer Price (USD/tonne) (USD),107.31,,98.37,,170.76,,179.79,,174.71,
Kazakhstan,Buckwheat,Producer Price (USD/tonne) (USD),234.01,,223.67,,614.35,,488.97,,450.76,
Jamaica,Rice paddy,Producer Price (USD/tonne) (USD),1506.42,F,1852.18,F,1539.97,,973.29,,770.88,
Jamaica,Maize,Producer Price (USD/tonne) (USD),2329.54,,2853.79,,3206.19,,2989.18,,2963.14,
Japan,Wheat,Producer Price (USD/tonne) (USD),945.6,,829.24,,633.94,,443.68,,324.93,
Japan,Rice paddy,Producer Price (USD/tonne) (USD),2348.85,,2393.18,,2437.09,,2873.56,,2390.79,
Japan,Barley,Producer Price (USD/tonne) (USD),1521.24,,1596.16,,1666.67,,1625.83,,1403.69,
Japan,Buckwheat,Producer Price (USD/tonne) (USD),3417.16,,4205.51,,3748.29,,2516.48,,1960.29,
Jordan,Wheat,Producer Price (USD/tonne) (USD),418.31,,510.14,,425.07,,563.8,,530,
Jordan,Barley,Producer Price (USD/tonne) (USD),371.55,,327.18,,329.44,,357.18,,359.01,
Jordan,Maize,Producer Price (USD/tonne) (USD),220.42,,238.17,,253.1,,226.34,,230.14,
Jordan,Sorghum,Producer Price (USD/tonne) (USD),70.42,,,,,,,,,
Kyrgyzstan,Wheat,Producer Price (USD/tonne) (USD),202.22,,155.72,,278.56,,271.4,,290.61,
Kyrgyzstan,Rice paddy,Producer Price (USD/tonne) (USD),1505.85,,1208.42,,1349.76,,1533.64,,1457.01,
Kyrgyzstan,Barley,Producer Price (USD/tonne) (USD),168.77,,114.63,,235.62,,250.45,,270.91,
Kyrgyzstan,Maize,Producer Price (USD/tonne) (USD),217.17,,165.52,,348.2,,335.87,,323.91,
Kyrgyzstan,Rye,Producer Price (USD/tonne) (USD),172.61,,161.08,,91.07,,187.13,,,
Kyrgyzstan,Oats,Producer Price (USD/tonne) (USD),171.45,,107.23,,194.32,,206.53,,254.58,
Kyrgyzstan,Millet,Producer Price (USD/tonne) (USD),146.96,,137.14,,136.6,,169.79,,,
Kyrgyzstan,Sorghum,Producer Price (USD/tonne) (USD),130.63,,119.29,,118.82,,,,,
Kyrgyzstan,Buckwheat,Producer Price (USD/tonne) (USD),279.92,,261.21,,260.19,,255.32,,,
Kyrgyzstan,Triticale,Producer Price (USD/tonne) (USD),128.6,F,117.13,F,190.78,,187.21,,,
Kenya,Wheat,Producer Price (USD/tonne) (USD),379.87,,367.98,,341.26,,428.57,,434.9,
Kenya,Rice paddy,Producer Price (USD/tonne) (USD),749.84,,757.76,,954.02,,681.84,,702.72,
Kenya,Barley,Producer Price (USD/tonne) (USD),361.96,,411.72,,314.29,,319.96,,446.58,
Kenya,Maize,Producer Price (USD/tonne) (USD),309.31,,217.39,,282.73,,401.8,,363.86,
Kenya,Millet,Producer Price (USD/tonne) (USD),673.24,,643.45,,631.8,,707.52,,758.35,
Kenya,Sorghum,Producer Price (USD/tonne) (USD),471.54,,375.49,,402.87,,482.58,,457.04,
Cambodia,Rice paddy,Producer Price (USD/tonne) (USD),214.78,,244.25,,268.34,,268.3,,,
